name,cap_hit
Jeff Carter,3125000
Yegor Sharangovich,3100000
Max Domi,3000000
Derek Forbort,3000000
Pierre Engvall,3000000
Jordan Greenway,3000000
Nicolas Roy,3000000
Matt Duchene,3000000
Ryan Lindgren,3000000
Martin Necas,3000000
Anthony Duclair,3000000
Dylan Demelo,3000000
Trevor van Riemsdyk,3000000
Justin Schultz,3000000
Eetu Luostarinen,3000000
Ian Cole,3000000
Evan Rodrigues,3000000
Scott Laughton,3000000
Olli Maatta,3000000
Mathieu Joseph,2950000
Alex Newhook,2900000
Jordan Staal,2900000
Colton Sissons,2857143
Brayden McNabb,2850000
Luke Schenn,2750000
Brock McGinn,2750000
Semyon Varlamov,2750000
Warren Foegele,2750000
Kaapo Kahkonen,2750000
Chandler Stephenson,2750000
Luke Kunin,2750000
Patrick Kane,2750000
Ilya Lyubushkin,2750000
Andrew Peeke,2750000
Jan Rutta,2750000
Brett Kulak,2750000
Anton Forsberg,2750000
Zach Whitecloud,2750000
Karel Vejmelka,2725000
William Borgen,2700000
Nick Seeler,2700000
Martin Fehervary,2675000
Tanner Jeannot,2665000
Sean Walker,2650000
Noah Cates,2625000
Stuart Skinner,2600000
Adam Boqvist,2600000
Sean Kuraly,2500000
Oliver Kylington,2500000
Marc-Andre Fleury,2500000
Alexandre Carrier,2500000
Casey Mittelstadt,2500000
Oskar Lindblom,2500000
Dominik Kubalik,2500000
Cody Glass,2500000
Alexander Barabanov,2500000
Henri Jokiharju,2500000
